AFControl,collectorId,varchar,50,NO,NULL
AFControl,collectorName,varchar,75,NO,NULL
AFControl,collectorTitle,varchar,30,NO,NULL
AFControl,mode,int,NULL,YES,NULL
AFControl,numUnitReceived,int,NULL,YES,NULL
AFControl,qtyBeginning,int,NULL,YES,NULL
AFControl,qtyReceived,int,NULL,YES,NULL
AFControl,qtyIssued,int,NULL,YES,NULL
AFControl,qtyEnding,int,NULL,YES,NULL
AFControl,qtyBeginningRemitted,int,NULL,YES,NULL
AFControl,qtyReceivedRemitted,int,NULL,YES,NULL
AFControl,qtyIssuedRemitted,int,NULL,YES,NULL
AFControl,qtyEndingRemitted,int,NULL,YES,NULL
AFControl,startseries,int,NULL,YES,NULL
AFControl,endseries,int,NULL,YES,NULL
AFControl,currentseries,int,NULL,YES,NULL
AFControl,afformat,varchar,255,YES,NULL
AFControl,beginseries,int,NULL,YES,NULL
AFControl,issuedto,int,NULL,YES,NULL
AFControl,totalQtyReceived,int,NULL,YES,NULL
AFControl,totalQtyOnHand,int,NULL,YES,NULL
AFControl,totalCancelled,int,NULL,YES,NULL
AFControl,totalCancelledIssued,int,NULL,YES,NULL
AFControl,totalQtyIssued,int,NULL,YES,NULL
AFControl,prefix,varchar,5,YES,NULL
AFControl,suffix,varchar,5,YES,NULL
AFControl,af_objid,varchar,50,YES,NULL
AFInventory,objid,varchar,50,NO,NULL
AFInventory,state,varchar,255,NO,NULL
AFInventory,docNo,varchar,15,YES,NULL
AFInventory,dtposted,datetime,NULL,YES,NULL
AFInventory,irafid,varchar,50,NO,NULL
AFInventoryItem,DTYPE,varchar,31,NO,NULL
AFInventoryItem,objid,varchar,50,NO,NULL
AFInventoryItem,qty,int,NULL,NO,NULL
AFInventoryItem,qtyIssued,int,NULL,NO,NULL
AFInventoryItem,lastStubNo,int,NULL,NO,NULL
AFInventoryItem,prefix,varchar,10,YES,NULL
AFInventoryItem,suffix,varchar,10,YES,NULL
AFInventoryItem,startSeries,int,NULL,YES,NULL
AFInventoryItem,endSeries,int,NULL,YES,NULL
AFInventoryItem,lastSeriesIssued,int,NULL,YES,NULL
AFInventoryItem,afinventoryid,varchar,50,NO,NULL
AFInventoryItem,afid,varchar,50,NO,NULL
AFInventoryItem,irafitemdeliveryid,varchar,50,NO,NULL
AFInventoryItemIssued,objid,varchar,50,NO,NULL
AFInventoryItemIssued,qty,int,NULL,NO,NULL
AFInventoryItemIssued,issuedToName,varchar,50,NO,NULL
AFInventoryItemIssued,issuedToTitle,varchar,50,NO,NULL
AFInventoryItemIssued,stubNos,varchar,20,NO,NULL
AFInventoryItemIssued,afinventoryitemid,varchar,50,NO,NULL
AFInventoryItemIssued,irafitemdeliveryid,varchar,50,NO,NULL
AmalgamatedLand,objid,varchar,35,NO,NULL
AmalgamatedLand,line_no,int,NULL,YES,NULL
AmalgamatedLand,tdNo,varchar,25,NO,NULL
AmalgamatedLand,amalgamationtdtransactionid,varchar,50,YES,NULL
AmalgamatedLand,taxdeclarationid,varchar,50,YES,NULL
AmalgamationAffectedRPU,objid,varchar,35,NO,NULL
AmalgamationAffectedRPU,newTdNo,varchar,25,YES,NULL
